,MotID,LidID,EinstID,Timastimpill
415,68,2227,1768,2005-03-29 14:03:03.560
416,68,2239,1794,2005-04-04 15:31:24.717
417,68,2243,1366,2005-04-05 18:15:02.640
418,69,39,537,2005-01-27 08:07:31.637
419,69,39,1632,2005-01-27 08:07:40.340
420,69,1019,630,2005-01-21 08:37:44.870
421,69,1049,153,2005-01-26 14:07:21.027
422,69,1086,1283,2005-01-25 21:45:59.730
423,69,1175,1495,2005-01-20 14:32:43.150
424,69,1205,1280,2005-01-25 21:39:21.493
425,69,1255,1004,2005-01-26 23:04:37.480
426,70,27,630,2005-03-02 00:53:48.980
427,70,95,1082,2005-03-02 11:34:32.027
428,70,156,1708,2005-02-28 08:47:26.713
429,70,360,1044,2005-02-27 17:41:24.027
430,70,482,1708,2005-02-28 08:52:51.040
431,70,498,245,2005-03-02 09:27:26.430
432,70,498,329,2005-03-02 09:27:33.340
433,70,499,1154,2005-03-02 09:34:35.290
434,70,1255,1004,2005-02-24 19:43:59.120
435,70,1675,354,2005-02-23 15:41:31.057
436,71,79,723,2005-01-06 11:21:28.870
437,71,79,729,2005-01-06 11:22:14.230
438,71,93,728,2005-01-06 11:24:31.497
439,71,1087,1112,2005-01-04 20:29:42.370
440,72,27,621,2005-01-02 16:50:11.243
441,72,126,112,2005-01-07 09:08:54.057
442,72,132,440,2004-12-28 21:01:08.137
443,72,763,1330,2004-12-29 15:43:07.823
444,72,1015,630,2005-01-04 22:27:51.290
445,72,1024,177,2005-01-04 09:12:09.090
446,72,1049,153,2005-01-04 09:09:21.463
447,72,1255,1004,2005-01-02 21:26:03.307
448,73,115,31,2005-02-16 22:46:42.917
449,73,115,421,2005-02-16 22:46:21.963
450,73,360,1044,2005-02-16 21:43:41.980
451,73,1616,129,2005-02-16 21:38:14.510
452,73,1616,1308,2005-02-16 21:38:35.557
453,75,90,85,2005-03-14 09:57:18.447
454,75,360,1044,2005-03-16 20:11:06.323
455,75,1020,630,2005-03-16 02:01:15.637
456,75,1255,1004,2005-03-12 16:58:07.323
457,75,2130,1495,2005-03-11 15:23:57.243
458,75,2131,1601,2005-03-11 15:25:32.277
459,77,79,723,2005-03-29 21:19:57.937
460,77,79,729,2005-03-29 21:22:10.887
461,77,93,728,2005-03-29 21:24:51.123
462,77,93,1245,2005-03-29 21:25:05.873
463,77,1469,80,2005-03-29 13:24:15.590
464,78,90,85,2005-03-30 23:21:09.623
465,78,140,153,2005-03-17 09:37:46.730
466,78,505,177,2005-03-17 09:38:35.900
467,78,1019,630,2005-03-30 18:50:23.327
468,78,1255,1004,2005-03-29 23:57:30.280
469,78,1616,31,2005-03-30 20:05:59.310
470,78,1616,421,2005-03-30 20:06:29.733
471,80,2342,335,2005-07-01 14:52:26.497
472,80,2344,1677,2005-06-22 12:32:10.343
473,80,2346,76,2005-06-22 12:44:37.560
474,80,2346,1912,2005-06-22 12:43:31.500
475,80,2358,361,2005-06-29 10:10:31.763
476,81,108,506,2006-02-07 14:49:19.653
477,81,1675,354,2006-02-03 12:51:52.060
478,81,2457,1984,2006-02-10 23:01:04.403
479,82,93,729,2005-11-23 18:18:30.980
480,82,2417,1010,2005-11-23 20:18:27.903
481,83,354,398,2005-10-21 14:18:04.483
482,83,1019,621,2005-10-19 00:33:30.403
483,83,1438,1589,2005-10-19 14:57:33.200
484,84,27,621,2005-09-24 15:37:48.670
485,84,1011,76,2005-09-28 11:27:23.827
486,84,1019,76,2005-09-27 16:42:11.810
487,84,1023,1589,2005-09-29 10:36:04.433
488,84,1438,1589,2005-09-29 10:39:53.107
489,85,22,149,2005-11-01 22:39:48.467
490,85,108,506,2005-11-02 21:35:39.670
491,86,108,506,2006-01-09 22:36:25.590
492,86,132,440,2006-01-10 13:13:06.467
493,86,138,177,2006-01-10 09:21:26.090
494,86,140,153,2006-01-10 09:24:27.793
495,86,354,398,2006-01-10 13:13:18.640
496,86,763,1330,2006-01-10 19:50:19.170
497,86,1045,1056,2006-01-10 15:10:09.123
498,86,1255,1004,2006-01-09 16:36:17.827
499,87,1019,453,2006-01-25 15:45:23.467
500,87,1049,153,2006-01-24 01:03:52.500
501,88,27,621,2006-03-03 21:30:16.263
502,88,108,506,2006-03-06 22:34:07.450
503,88,768,486,2006-03-06 21:01:27.890
504,88,1255,1004,2006-02-28 13:36:13.233
505,88,2457,1919,2006-03-08 23:12:14.217
506,89,79,729,2006-01-05 09:48:34.437
507,89,93,728,2006-01-05 09:53:34.250
508,89,1694,345,2006-01-04 21:37:23.250
509,91,18,452,2006-03-30 16:59:26.920
510,91,22,149,2006-04-03 22:16:04.077
511,91,37,1299,2006-03-20 21:18:17.327
512,91,39,932,2006-03-30 14:59:07.013
513,91,61,531,2006-04-03 22:44:42.560
514,91,79,729,2006-04-03 13:13:42.607
515,91,90,85,2006-04-25 21:45:00.420
516,91,91,873,2006-04-03 15:11:59.293
517,91,93,140,2006-04-03 17:27:44.437
518,91,93,728,2006-04-03 17:26:58.340
519,91,94,1806,2006-04-03 15:01:35.437
520,91,108,506,2006-02-17 23:34:30.390
521,91,121,460,2006-04-03 23:11:54.450
522,91,129,936,2006-04-04 16:22:09.590
523,91,132,1848,2006-04-04 23:15:48.263
524,91,140,153,2006-02-27 11:42:02.560
525,91,142,46,2006-04-18 22:43:29.717
526,91,142,220,2006-04-18 22:44:00.280
